id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1406337,61d7c74d-516f-4fe3-bc54-74c845cfa049,Wed Apr 15 2015 20:12:59 GMT-0700 (PDT),2015-04-15,2015-04-16 03:12:59 UTC,Pacific Time (US & Canada),12867,mstepek,"",2015-04-19 18:38:45 UTC,2018-02-22 16:43:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1406337,https://inaturalist-open-data.s3.amazonaws.com/photos/1739630/medium.jpg,,,,1,0,false,3,"Ensenada, Ensenada, BC , MX",30.86902,-115.7026283333,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1406340,8b2b8aa9-6416-4d67-b34d-15794b49e9c0,Wed Apr 15 2015 20:46:10 GMT-0700 (PDT),2015-04-15,2015-04-16 03:46:10 UTC,Pacific Time (US & Canada),12867,mstepek,"",2015-04-19 18:37:47 UTC,2018-02-22 16:43:08 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1406340,https://inaturalist-open-data.s3.amazonaws.com/photos/1739633/medium.jpg,,,,1,0,false,3,"Ensenada, Ensenada, BC , MX",30.8695466667,-115.7021866667,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1406341,db1a514b-e959-414d-889e-582b71c64600,Wed Apr 15 2015 21:41:28 GMT-0700 (PDT),2015-04-15,2015-04-16 04:41:28 UTC,Pacific Time (US & Canada),12867,mstepek,"",2015-04-19 18:37:47 UTC,2018-02-22 16:43:08 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1406341,https://inaturalist-open-data.s3.amazonaws.com/photos/1739634/medium.jpg,,,,1,0,false,3,"Ensenada, Ensenada, BC , MX",30.869895,-115.6996,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1406345,988eed55-3283-41fd-b51c-c4b6688bfbc4,Wed Apr 15 2015 21:30:17 GMT-0700 (PDT),2015-04-15,2015-04-16 04:30:17 UTC,Pacific Time (US & Canada),12867,mstepek,"",2015-04-19 18:40:29 UTC,2020-01-29 04:32:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1406345,https://inaturalist-open-data.s3.amazonaws.com/photos/1739640/medium.jpg,,"",,1,0,false,3,"Ensenada, Ensenada, BC , MX",30.8698366667,-115.6995866667,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1406346,29472530-3787-46b3-9507-87ba3dacfcdd,Wed Apr 15 2015 20:43:59 GMT-0700 (PDT),2015-04-15,2015-04-16 03:43:59 UTC,Pacific Time (US & Canada),12867,mstepek,"",2015-04-19 18:39:31 UTC,2018-02-22 16:43:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1406346,https://inaturalist-open-data.s3.amazonaws.com/photos/1739641/medium.jpg,,,,1,0,false,3,"Ensenada, Ensenada, BC , MX",30.86952,-115.7023166667,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1406348,b98e4922-e8e6-4af6-943d-f63cebef6b9f,Wed Apr 15 2015 22:40:40 GMT-0700 (PDT),2015-04-15,2015-04-16 05:40:40 UTC,Pacific Time (US & Canada),12867,mstepek,"",2015-04-19 18:41:25 UTC,2018-02-22 16:43:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1406348,https://inaturalist-open-data.s3.amazonaws.com/photos/1739644/medium.jpg,,,,1,0,false,3,"Ensenada, Ensenada, BC , MX",30.8713083333,-115.6949533333,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1406363,8a09511d-4ad4-4e1b-a901-9c7b7029c076,Thu Apr 16 2015 21:42:47 GMT-0700 (PDT),2015-04-16,2015-04-17 04:42:47 UTC,Pacific Time (US & Canada),12867,mstepek,"",2015-04-19 18:48:58 UTC,2018-02-22 16:43:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1406363,https://inaturalist-open-data.s3.amazonaws.com/photos/1739662/medium.jpg,,,,1,0,false,3,"Ensenada, Ensenada, BC , MX",30.8306366667,-115.73877,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1478082,d48e1594-dd59-4416-9bed-23946c8c1075,2015-04-26 01:33:03,2015-04-26,2015-04-26 08:33:03 UTC,Pacific Time (US & Canada),10285,finatic,BJ Stacey,2015-05-11 20:05:51 UTC,2021-06-04 16:36:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1478082,https://static.inaturalist.org/photos/1832382/medium.jpg,,California Toad,"San Diego County, California, US",3,0,false,,"San Diego County, US-CA, US",32.904815574,-116.5998922996,5,,,,29039,obscured,obscured,true,,"",,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1479517,b95cdef1-5984-4f18-a6ed-087dd4dfe8bc,2015-04-26 01:31:26,2015-04-26,2015-04-26 08:31:26 UTC,Pacific Time (US & Canada),27743,jaykeller,Jay L. Keller,2015-05-12 03:11:12 UTC,2016-08-03 17:08:48 UTC,research,,http://www.inaturalist.org/observations/1479517,https://static.inaturalist.org/photos/1834172/medium.jpg,,"",                               ,2,0,false,,"San Diego County, US-CA, US",32.9120103718,-116.5916539117,548,,,,10000,,obscured,true,,manual,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
1838759,b3a3a4d4-d478-48cb-80dd-4037465bda20,2010:04:25,2010-04-25,,Pacific Time (US & Canada),121203,tenthousandhz,Daniel Palmer,2015-08-06 21:20:34 UTC,2023-09-14 22:58:47 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1838759,https://static.inaturalist.org/photos/2233624/medium.JPG,,"",Exact counts: 15 polliwogs and 8 adults.,1,0,false,41,"San Diego County, US-CA, US",32.6840451024,-116.6164289297,,,,,29066,obscured,obscured,true,,"",,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
2063316,4ba1b2ff-66e0-4e19-bd7b-8c6dfe954e5d,2015-05-18 20:05:01,2015-05-18,2015-05-19 03:05:01 UTC,Pacific Time (US & Canada),138847,jonathanpiazza91,Jonathan A. Piazza,2015-10-04 06:08:40 UTC,2019-02-22 02:42:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2063316,https://inaturalist-open-data.s3.amazonaws.com/photos/2473224/medium.JPG,,"","",1,0,false,,"San Diego County, US-CA, US",33.09803862,-116.8441310494,,,,,29012,obscured,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
2068970,6b0a84b7-d9b1-4e75-9b13-e603325dfc82,2015-09-09,2015-09-09,,Pacific Time (US & Canada),140802,maxlikestoherp,"",2015-10-04 19:46:58 UTC,2019-09-25 23:25:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2068970,https://inaturalist-open-data.s3.amazonaws.com/photos/2476249/medium.jpg,,"",Toad found in shallow sandy creek. ,2,0,false,,United States,32.6037686869,-117.0525112002,133505,,,,133505,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
2961640,bd58f8b9-9810-4e8f-90e6-0f826271ecf3,2016-04-12,2016-04-12,,Pacific Time (US & Canada),204990,dale_hameister,Dale Hameister,2016-04-18 01:24:59 UTC,2019-12-12 08:34:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2961640,https://inaturalist-open-data.s3.amazonaws.com/photos/3399293/medium.jpg,,endangered,Arroyo Toad (Anaxyrus californicus),5,0,false,,"California, US",34.5047320774,-118.6960015518,8,,,,28818,obscured,obscured,true,,manual,,Ventura,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
3057558,2f98e4aa-eb4b-46f0-a79a-a96d1486aba2,2016-04-25,2016-04-25,,Tijuana,23647,jorgehvaldez,Jorge H. Valdez,2016-04-29 20:25:11 UTC,2018-02-22 16:59:39 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/3057558,https://inaturalist-open-data.s3.amazonaws.com/photos/3521832/medium.JPG,,"","",1,0,false,,"Arroyo San Jose, Rancho Meling",30.972164,-115.742189,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Sapo de arroyo,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
3057585,52a5c2de-7090-4363-953c-723f1e1fbe34,2016-04-25,2016-04-25,,Tijuana,23647,jorgehvaldez,Jorge H. Valdez,2016-04-29 20:30:01 UTC,2018-02-22 16:59:40 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/3057585,https://inaturalist-open-data.s3.amazonaws.com/photos/3521861/medium.JPG,,"","",1,0,false,,"Arroyo San Jose, Rancho Meling",30.97857,-115.74557,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Sapo de arroyo,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
3499206,2683660a-4d8d-436a-b304-4574f977bb38,Tue Jun 21 2016 12:41:25 GMT-0700 (PDT),2016-06-21,2016-06-21 19:41:25 UTC,Pacific Time (US & Canada),73478,dcstokes_sdnhm,DCStokes,2016-06-21 22:27:30 UTC,2017-06-19 19:48:13 UTC,research,,http://www.inaturalist.org/observations/3499206,https://static.inaturalist.org/photos/4070581/medium.jpg,,,,1,0,false,3,"San Diego County, US-CA, US",33.1273261787,-116.8990680627,,,,,28998,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
3877612,77b6e36b-968a-41ae-93f1-f3eb8e3c261c,2010/03/13 2:48 PM PDT,2010-03-13,2010-03-13 22:48:00 UTC,Pacific Time (US & Canada),71758,andrea_navarro20,Andrea Navarro,2016-08-13 21:58:01 UTC,2023-08-30 22:29:17 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/3877612,https://inaturalist-open-data.s3.amazonaws.com/photos/4548839/medium.jpg,,"",,2,0,false,,"Ensenada, B.C., México",32.0377298824,-116.764755249,31,,,,31,,open,false,,,,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Sapo de arroyo,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
4725332,25c5b6cb-4aed-4930-bee4-e21c54fc0b65,2016:06:11,2016-06-11,,UTC,61862,jrebman,"",2016-12-06 16:24:23 UTC,2023-07-06 16:07:05 UTC,research,,http://www.inaturalist.org/observations/4725332,https://inaturalist-open-data.s3.amazonaws.com/photos/5712497/medium.jpg,,"",with Anny Peralta Garcia,1,0,false,41,"Ensenada, MX-BN, MX",30.7730168083,-115.3906087764,,,,,,,open,false,,,,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
4725342,3448469d-18c5-49d1-8d88-740574ed2cd1,2016:06:13,2016-06-13,,UTC,61862,jrebman,"",2016-12-06 16:27:57 UTC,2023-07-06 16:07:07 UTC,research,,http://www.inaturalist.org/observations/4725342,https://inaturalist-open-data.s3.amazonaws.com/photos/5712511/medium.jpg,,"",with Anny Peralta Garcia,2,0,false,41,"Ensenada, MX-BN, MX",30.6934490978,-115.3274266608,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Sapo de arroyo,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
4829158,7d04a729-0e61-4d0d-89e8-fc5007cfc8b4,2005/05/19 6:47 PM PST,2005-05-19,2005-05-20 01:47:00 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2016-12-22 02:07:47 UTC,2023-11-06 16:35:39 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/4829158,https://inaturalist-open-data.s3.amazonaws.com/photos/5859795/medium.jpg,,"",Newly metamorphosed,2,0,false,,"California, US",33.3949928313,-116.9515346384,,,,,28984,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
4975095,94f8b239-d83b-4f01-9d42-3e92451ced9f,2013-03-16,2013-03-16,,Pacific Time (US & Canada),5504,amplex4love,Paul Maier,2017-01-20 05:27:24 UTC,2019-08-14 22:24:04 UTC,research,CC-BY,https://www.inaturalist.org/observations/4975095,https://static.inaturalist.org/photos/6071291/medium.jpg,,"","",1,0,false,,"San Diego County, US-CA, US",33.1994773205,-116.8397151502,274,,,,28998,obscured,obscured,true,,manual,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
4979635,2c937b00-72c4-437e-900e-49b9b983e3c3,Sat Dec 31 2016 22:49:12 GMT-0800 (PST),2016-12-31,2017-01-01 06:49:12 UTC,Pacific Time (US & Canada),5504,amplex4love,Paul Maier,2017-01-20 23:34:17 UTC,2020-04-26 21:40:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/4979635,https://static.inaturalist.org/photos/6078955/medium.jpg,,"","",3,0,false,3,"San Diego County, US-CA, US",33.1321365135,-116.9375234693,,,,,29012,obscured,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5123202,582b31ca-3c9f-462c-abeb-213daaa3c0a7,2017/02/16 7:12 PM PST,2017-02-16,2017-02-17 03:12:00 UTC,Pacific Time (US & Canada),224428,kmedak,"",2017-02-17 07:15:39 UTC,2017-06-19 19:52:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5123202,https://inaturalist-open-data.s3.amazonaws.com/photos/6302855/medium.jpeg,,"","The first of 7 seen on this night. Males were heard calling.
",1,0,false,,"San Diego County, US-CA, US",33.0730139164,-116.8408179642,15,,,,28998,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5123209,51ff7a28-11f0-4aeb-aa96-b8071fbe421f,2017/02/16 7:16 PM PST,2017-02-16,2017-02-17 03:16:00 UTC,Pacific Time (US & Canada),224428,kmedak,"",2017-02-17 07:19:20 UTC,2017-06-19 19:52:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5123209,https://inaturalist-open-data.s3.amazonaws.com/photos/6302864/medium.jpeg,,"",I assume this is a female because it was much larger than the ones in the water.,1,0,false,,"San Diego County, US-CA, US",33.0775675404,-116.8047814315,31,,,,28998,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5123221,6fbcd7ac-5f9f-40b7-bc60-b370d0be9935,2017/02/16 7:33 PM PST,2017-02-16,2017-02-17 03:33:00 UTC,Pacific Time (US & Canada),224428,kmedak,"",2017-02-17 07:27:26 UTC,2017-06-19 19:52:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5123221,https://inaturalist-open-data.s3.amazonaws.com/photos/6302871/medium.jpeg,,"",,1,0,false,,"San Diego County, US-CA, US",33.0635516257,-116.9321143771,15,,,,28998,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5123222,2e84c2c3-ccd8-49ca-8aa6-72e0854ce293,2017/02/16 7:50 PM PST,2017-02-16,2017-02-17 03:50:00 UTC,Pacific Time (US & Canada),224428,kmedak,"",2017-02-17 07:27:26 UTC,2017-06-19 19:52:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5123222,https://inaturalist-open-data.s3.amazonaws.com/photos/6302872/medium.jpeg,,"",,1,0,false,,"San Diego County, US-CA, US",33.005304088,-116.8528886341,8,,,,28998,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5123223,4f45ace0-d147-46cc-b98d-0278e61c155a,2017/02/16 7:58 PM PST,2017-02-16,2017-02-17 03:58:00 UTC,Pacific Time (US & Canada),224428,kmedak,"",2017-02-17 07:27:27 UTC,2023-07-17 23:44:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5123223,https://inaturalist-open-data.s3.amazonaws.com/photos/6302875/medium.jpeg,,"",,2,0,false,,"San Diego County, US-CA, US",33.1877255816,-116.8047346427,8,,,,29012,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5123224,015c6b9e-a47a-4aea-8da4-29218ba1818b,2017/02/16 8:01 PM PST,2017-02-16,2017-02-17 04:01:00 UTC,Pacific Time (US & Canada),224428,kmedak,"",2017-02-17 07:27:27 UTC,2017-06-19 19:52:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5123224,https://inaturalist-open-data.s3.amazonaws.com/photos/6302884/medium.jpeg,,"",,1,0,false,,"San Diego County, US-CA, US",33.1660974352,-116.8989571239,15,,,,28998,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5123225,5dd0efc4-eecb-49ba-b63d-70f86f32fb57,2017/02/16 8:17 PM PST,2017-02-16,2017-02-17 04:17:00 UTC,Pacific Time (US & Canada),224428,kmedak,"",2017-02-17 07:27:27 UTC,2017-06-19 19:52:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5123225,https://inaturalist-open-data.s3.amazonaws.com/photos/6302892/medium.jpeg,,"",Appeared to be a male in calling position. We heard a few calling but didn't actually see it.,1,0,false,,"San Diego County, US-CA, US",33.0920389889,-116.9066994508,15,,,,28998,,obscured,true,,,,San Diego,California,United States,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5407109,6518d37d-7f0e-456f-a372-70268fc4869e,2017/03/17 9:42 PM PDT,2017-03-17,2017-03-18 04:42:00 UTC,Pacific Time (US & Canada),71758,andrea_navarro20,Andrea Navarro,2017-03-20 06:20:04 UTC,2018-04-22 17:08:47 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/5407109,https://inaturalist-open-data.s3.amazonaws.com/photos/6644579/medium.jpeg,,"",,3,0,false,,"Ensenada, B.C., México",30.9620456905,-115.7276083232,15,,,,15,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5409385,4047184a-3aa6-46a9-bb39-23bbaeb6a1e6,2017/03/18 8:31 AM HST,2017-03-18,2017-03-18 18:31:00 UTC,Hawaii,131804,seanharrington256,"",2017-03-20 16:25:17 UTC,2017-06-19 19:52:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5409385,https://inaturalist-open-data.s3.amazonaws.com/photos/6648201/medium.jpeg,,"",,2,0,false,,,,,27,,,,29052,private,obscured,true,,,,,,,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5427728,01e2462e-9758-40cc-a47e-e43cfe28fb45,2017/03/17 9:52 PM PDT,2017-03-17,2017-03-18 04:52:00 UTC,Pacific Time (US & Canada),23647,jorgehvaldez,Jorge H. Valdez,2017-03-22 20:32:38 UTC,2018-02-22 18:52:28 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/5427728,https://inaturalist-open-data.s3.amazonaws.com/photos/6675434/medium.jpeg,,"","",1,0,false,,Rancho Meling,30.9654316667,-115.7422,,,,,,,open,false,,,,Ensenada,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
5529955,277113ad-5641-4c6a-a2ef-4cfab65677cc,2017/03/31 11:54 AM PDT,2017-03-31,2017-03-31 18:54:00 UTC,Pacific Time (US & Canada),23647,jorgehvaldez,Jorge H. Valdez,2017-04-01 19:18:29 UTC,2023-08-30 22:49:07 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/5529955,https://inaturalist-open-data.s3.amazonaws.com/photos/6823343/medium.jpeg,,"",Arroyo Las Calabazas,5,0,false,,"Tijuana, B.C., México",32.2882166667,-116.530425,,,,,,,open,false,,,,Tijuana,Baja California,Mexico,Arroyo Toad,Anaxyrus californicus,Arroyo Toad,Amphibia,64971
